uniprot_id	entry_name	gene_symbol	protein_name	pe_level	length
A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	3	115
A8MUZ8	Z705G_HUMAN	ZNF705G	Putative zinc finger protein 705G	2	300
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	1	1248
O14958	CASQ2_HUMAN	CASQ2	Calsequestrin-2	1	399
O43155	FLRT2_HUMAN	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	1	660
O76031	CLPX_HUMAN	CLPX	ATP-dependent clpX-like chaperone, mitochondrial	1	633
O76036	NCTR1_HUMAN	NCR1	Natural cytotoxicity triggering receptor 1	1	304
O95631	NET1_HUMAN	NTN1	Netrin-1	1	604
O95644	NFAC1_HUMAN	NFATC1	Nuclear factor of activated T-cells, cytoplasmic 1	1	943
O95674	CDS2_HUMAN	CDS2	Phosphatidate cytidylyltransferase 2	1	445
O95926	SYF2_HUMAN	SYF2	Pre-mRNA-splicing factor SYF2	1	243
P00395	COX1_HUMAN	MT-CO1	Cytochrome c oxidase subunit 1	1	513
P01593	KVD33_HUMAN	IGKV1D-33	Immunoglobulin kappa variable 1D-33	1	117
P04554	PRM2_HUMAN	PRM2	Protamine-2	1	102
P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial	1	325
P14316	IRF2_HUMAN	IRF2	Interferon regulatory factor 2	1	349
P16860	ANFB_HUMAN	NPPB	Natriuretic peptides B	1	134
P28335	5HT2C_HUMAN	HTR2C	5-hydroxytryptamine receptor 2C	1	458
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	1	207
P35372	OPRM_HUMAN	OPRM1	Mu-type opioid receptor	1	400
P48539	PCP4_HUMAN	PCP4	Calmodulin regulator protein PCP4	1	62
P55082	MFAP3_HUMAN	MFAP3	Microfibril-associated glycoprotein 3	1	362
P55916	UCP3_HUMAN	UCP3	Putative mitochondrial transporter UCP3	1	312
P56747	CLD6_HUMAN	CLDN6	Claudin-6	1	220
P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	1	151
Q13087	PDIA2_HUMAN	PDIA2	Protein disulfide-isomerase A2	1	525
Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	1	305
Q13946	PDE7A_HUMAN	PDE7A	High affinity 3',5'-cyclic-AMP phosphodiesterase 7A	1	482
Q15544	TAF11_HUMAN	TAF11	Transcription initiation factor TFIID subunit 11	1	211
Q15813	TBCE_HUMAN	TBCE	Tubulin-specific chaperone E	1	527
Q15928	ZN141_HUMAN	ZNF141	Zinc finger protein 141	1	474
Q2KHN1	RN151_HUMAN	RNF151	RING finger protein 151	1	245
Q2WGJ6	KLH38_HUMAN	KLHL38	Kelch-like protein 38	1	581
Q53EZ4	CEP55_HUMAN	CEP55	Centrosomal protein of 55 kDa	1	464
Q5JTN6	WDR38_HUMAN	WDR38	WD repeat-containing protein 38	1	314
Q5RL73	RBM48_HUMAN	RBM48	RNA-binding protein 48	1	367
Q5T764	IFT1B_HUMAN	IFIT1B	Protein IFIT1 homolog B	1	474
Q5T871	LELP1_HUMAN	LELP1	Late cornified envelope-like proline-rich protein 1	1	98
Q5TYX0	PRAM5_HUMAN	PRAMEF5	PRAME family member 5	2	476
Q5VTJ3	KLD7A_HUMAN	KLHDC7A	Kelch domain-containing protein 7A	1	777
Q6IPW1	CK071_HUMAN	C11orf71	Uncharacterized protein C11orf71	1	123
Q6P6B7	ANR16_HUMAN	ANKRD16	Ankyrin repeat domain-containing protein 16	1	361
Q6XPR3	RPTN_HUMAN	RPTN	Repetin	1	784
Q6YHU6	THADA_HUMAN	THADA	tRNA (32-2'-O)-methyltransferase regulator THADA	1	1953
