pair_id	microprotein_gene	microprotein_biotype	microprotein_tier	partner_gene_symbol	partner_uniprot_id	iptm	ptm	binding_mechanism_category	buried_sasa_A2	known_pdb_ppi_overlap_pct	is_active_site_cleft	active_site_min_dist_A	active_site_details	is_binding_site_overlap	binding_site_min_dist_A	partner_domains_contacted	representative_pdb_ids	total_contacts	hbond_count	salt_bridge_count	hydrophobic_count	prodigy_link_density	prodigy_predicted_dg_kcal	microprotein_contact_residues_count	partner_contact_residues_count	microprotein_surface_involvement_pct	mean_interface_pae	aromatic_count	vdw_count	sasa_microprotein_A2	sasa_partner_A2	catalytic_sites_count	binding_sites_count	binding_site_details	known_pdb_interface_residues_count	known_pdb_ppi_overlap_count	partner_plddt	microprotein_plddt
c9norep160_partner_03_GPSM1	ENTR1	intORF	1B	GPSM1	Q86YR5	0.9294	0.6275	Allosteric Regulatory Surface / Novel Epitope	3451.8	0.0	False			False		Mediates association with membranes (1-509); Interaction with STK11/LKB1 (364-487); Disordered (391-412); Disordered (424-492); Disordered (610-630)		91	9	2	7	0.095	-17.49	18	53	100.0	9.45	4	53	2262.7	36600.4	0	0		0	0	0.68	0.75
c7riboseqorf18_partner_01_SERPINE2	SNX13	uORF	1B	SERPINE2	P07093	0.8525	0.8226	Allosteric Regulatory Surface / Novel Epitope	6084.6	0.0	False			False				208	27	5	33	0.058	-7.62	36	100	69.2	9.92	1	100	6643.6	20796.7	0	0		0	0	0.82	0.52
c11riboseqorf108_partner_02_PCNA	AP001372.2	lncRNA	1A	PCNA	P12004	0.8491	0.5274	Known Macromolecular Subunit Competitor / Adaptor	2909.0	96.8	False			False		Interaction with NUDT15 (7-100)	1AXC; 1U76; 1U7B; 1UL1; 1VYJ; 2ZVK; 2ZVL; 2ZVM; 3P87; 4D2G	70	13	2	12	0.087	-9.66	26	31	7.4	7.88	0	26	28451.2	14107.3	0	0		139	30	0.86	0.57
c17norep98_partner_04_GAPDH	LINC00910	lncRNA	1B	GAPDH	P04406	0.842	0.9119	Active Site Blocker / Competitive Decoy	3248.9	2.4	True	3.44	Nucleophile (res 152)	True	2.27	Interaction with WARS1 (2-148)	3GPD; 4WNC; 4WNI; 6M61; 8P5F; 9L3E	74	9	3	10	0.057	-7.2	31	42	53.4	12.53	0	35	6696.8	15542.9	1	9	 (res 80);  (res 122);  (res 151);  (res 152);  (res 153);  (res 182);  (res 211);  (res 212);  (res 234)	82	1	0.95	0.59
c1norep148_partner_01_CDYL	ZNF644	lncRNA-ORF	1B	CDYL	Q9Y232	0.8348	0.6027	Allosteric Regulatory Surface / Novel Epitope	3085.1	10.3	False			False		Chromo (61-121); Disordered (1-76); Interaction with EZH2 (61-309); Acetyl-CoA-binding domain (362-594)	7N27	86	13	1	16	0.074	-15.48	30	39	66.7	6.35	0	35	3692.4	40326.4	0	0		51	4	0.67	0.74
c5riboseqorf95_partner_02_DCAF7	FAM53C	uORF	1B	DCAF7	P61962	0.8332	0.9292	Allosteric Regulatory Surface / Novel Epitope	1722.5	0.0	False			False				46	6	1	6	0.142	-18.5	13	25	59.1	2.81	4	22	2470.5	15429.7	0	0		0	0	0.89	0.73
c12riboseqorf72_partner_02_VPS52	RNF41	uORF	1B	VPS52	Q8N1B4	0.8303	0.7046	Allosteric Regulatory Surface / Novel Epitope	2189.9	0.0	False			False				49	3	1	3	0.107	-17.67	17	27	81.0	8.19	4	27	2124.4	41752.2	0	0		0	0	0.79	0.67
c17norep146_partner_02_PSMC3	PSMC5	uoORF	1B	PSMC3	P17980	0.7573	0.6941	Known Macromolecular Subunit Competitor / Adaptor	3688.6	93.8	False			False	18.86		12BM; 22MM; 5GJQ; 5GJR; 5L4G; 5LN3; 5M32; 5T0C; 5T0G; 5T0H	109	15	6	13	0.071	-8.94	32	48	76.2	5.7	0	51	4752.7	27558.9	0	1		326	45	0.79	0.67
c1riboseqorf289_partner_03_IDI1	GGPS1	uORF	1B	IDI1	Q13907	0.715	0.8383	Active Site Cleft Occlusion / Proximal Inhibitor	1805.0	0.0	False	12.27		False	7.6	Nudix hydrolase (49-199)		53	4	0	5	0.115	-12.39	17	27	37.8	12.42	0	28	3838.4	10874.3	2	8		0	0	0.92	0.39
c2riboseqorf136_partner_08_MYL1	TTN-AS1	lncRNA-ORF	4	MYL1	P05976	0.712	0.5593	Allosteric Regulatory Surface / Novel Epitope	3884.4	0.0	False			False		EF-hand 1 (50-85); EF-hand 2 (127-162); EF-hand 3 (162-194)		90	6	3	22	0.082	-6.34	25	44	19.7	7.03	2	41	9186.8	14830.1	0	0		0	0	0.75	0.4
