orf_id	gene	transcript	orf_biotype	final_tier	is_peptidein	strand	chrom	n_exons	length_aa	length_bp	intervals_1based	intervals_0based	min_start_0based	max_end_0based	span_bp
c1riboseqorf1	LINC01128	ENST00000448975	lncRNA-ORF	4	False	+	chr1	2	91	276	chr1:847672-847806+chr1:850181-850321	chr1:847671-847806;chr1:850180-850321	847671	850321	2650
c1riboseqorf2	LINC01128	ENST00000449005	lncRNA-ORF	4	False	+	chr1	2	91	276	chr1:847672-847806+chr1:851927-852067	chr1:847671-847806;chr1:851926-852067	847671	852067	4396
c1riboseqorf3	LINC01128	ENST00000445118	lncRNA-ORF	4	False	+	chr1	2	22	69	chr1:852071-852110+chr1:852671-852699	chr1:852070-852110;chr1:852670-852699	852070	852699	629
c1riboseqorf4	LINC01128	ENST00000445118	lncRNA-ORF	4	False	+	chr1	2	24	75	chr1:852735-852766+chr1:853391-853433	chr1:852734-852766;chr1:853390-853433	852734	853433	699
c1riboseqorf5	LINC01128	ENST00000416570	lncRNA-ORF	4	False	+	chr1	1	29	90	chr1:853951-854040	chr1:853950-854040	853950	854040	90
c1riboseqorf6	UBE2J2	ENST00000349431	dORF	4	False	-	chr1	1	32	99	chr1:1254955-1255053	chr1:1254954-1255053	1254954	1255053	99
c1riboseqorf7	nan	nan	mixed	2B	False	-	chr1	1	43	132	chr1:1375165-1375296	chr1:1375164-1375296	1375164	1375296	132
c1riboseqorf8	SLC35E2B	ENST00000617444	uORF	4	False	-	chr1	2	95	288	chr1:1691333-1691393+chr1:1692449-1692675	chr1:1691332-1691393;chr1:1692448-1692675	1691332	1692675	1343
c1riboseqorf9	TNFRSF14	ENST00000355716	uORF	4	False	+	chr1	1	20	63	chr1:2556593-2556655	chr1:2556592-2556655	2556592	2556655	63
c1riboseqorf10	PRXL2B	ENST00000419916	dORF	2B	False	+	chr1	1	77	234	chr1:2589754-2589987	chr1:2589753-2589987	2589753	2589987	234
c1riboseqorf11	MEGF6	ENST00000356575	uORF	4	False	-	chr1	1	16	51	chr1:3611301-3611351	chr1:3611300-3611351	3611300	3611351	51
c1riboseqorf12	CEP104	ENST00000378230	uORF	2B	False	-	chr1	1	66	201	chr1:3856992-3857192	chr1:3856991-3857192	3856991	3857192	201
c1riboseqorf13	C1orf174	ENST00000361605	intORF	2B	False	-	chr1	2	20	63	chr1:3891002-3891057+chr1:3892883-3892889	chr1:3891001-3891057;chr1:3892882-3892889	3891001	3892889	1888
c1riboseqorf14	KCNAB2	ENST00000352527	uORF	4	False	+	chr1	2	25	78	chr1:6026410-6026445+chr1:6040517-6040558	chr1:6026409-6026445;chr1:6040516-6040558	6026409	6040558	14149
c1riboseqorf15	GPR153	ENST00000377893	uORF	4	False	-	chr1	2	59	180	chr1:6254975-6255014+chr1:6260825-6260964	chr1:6254974-6255014;chr1:6260824-6260964	6254974	6260964	5990
c1riboseqorf16	ERRFI1	ENST00000377482	uORF	4	False	-	chr1	2	20	63	chr1:8015672-8015692+chr1:8026158-8026199	chr1:8015671-8015692;chr1:8026157-8026199	8015671	8026199	10528
c1riboseqorf17	PIK3CD-AS2	ENST00000415330	lncRNA-ORF	4	False	-	chr1	2	51	156	chr1:9681069-9681135+chr1:9687335-9687423	chr1:9681068-9681135;chr1:9687334-9687423	9681068	9687423	6355
c1riboseqorf18	PIK3CD	ENST00000377346	uORF	2B	False	+	chr1	2	34	105	chr1:9691490-9691571+chr1:9710424-9710446	chr1:9691489-9691571;chr1:9710423-9710446	9691489	9710446	18957
c1riboseqorf19	LZIC	ENST00000377223	uORF	2B	False	-	chr1	1	34	105	chr1:9942631-9942735	chr1:9942630-9942735	9942630	9942735	105
c1riboseqorf20	CENPS-CORT	ENST00000602296	uORF	4	False	+	chr1	1	64	195	chr1:10430850-10431044	chr1:10430849-10431044	10430849	10431044	195
c1riboseqorf21	FBXO44	ENST00000376770	uORF	1B	False	+	chr1	1	80	243	chr1:11655338-11655580	chr1:11655337-11655580	11655337	11655580	243
c1riboseqorf22	TMEM51	ENST00000376008	uORF	4	False	+	chr1	2	59	180	chr1:15210514-15210562+chr1:15214895-15215025	chr1:15210513-15210562;chr1:15214894-15215025	15210513	15215025	4512
c1riboseqorf23	SPEN-AS1	ENST00000317122	lncRNA-ORF	4	False	-	chr1	1	52	159	chr1:15835392-15835550	chr1:15835391-15835550	15835391	15835550	159
c1riboseqorf24	SPEN-AS1	ENST00000317122	lncRNA-ORF	4	False	-	chr1	1	56	171	chr1:15835658-15835828	chr1:15835657-15835828	15835657	15835828	171
c1riboseqorf25	SPEN	ENST00000375759	uORF	4	False	+	chr1	1	33	102	chr1:15847904-15848005	chr1:15847903-15848005	15847903	15848005	102
c1riboseqorf26	ZBTB17	ENST00000375743	uORF	1B	False	-	chr1	2	30	93	chr1:15973040-15973125+chr1:15975983-15975989	chr1:15973039-15973125;chr1:15975982-15975989	15973039	15975989	2950
c1riboseqorf27	ZBTB17	ENST00000375743	uORF	4	False	-	chr1	1	18	57	chr1:15976020-15976076	chr1:15976019-15976076	15976019	15976076	57
c1riboseqorf28	CPLANE2	ENST00000375599	uORF	4	False	-	chr1	1	34	105	chr1:16236838-16236942	chr1:16236837-16236942	16236837	16236942	105
c1riboseqorf29	SZRD1	ENST00000401088	dORF	4	False	+	chr1	1	25	78	chr1:16395157-16395234	chr1:16395156-16395234	16395156	16395234	78
c1riboseqorf30	SZRD1	ENST00000401088	dORF	4	False	+	chr1	1	54	165	chr1:16395304-16395468	chr1:16395303-16395468	16395303	16395468	165
c1riboseqorf31	SZRD1	ENST00000401088	dORF	4	False	+	chr1	1	65	198	chr1:16395735-16395932	chr1:16395734-16395932	16395734	16395932	198
c1riboseqorf32	NBPF1	ENST00000430580	uORF	4	False	-	chr1	1	35	108	chr1:16608533-16608640	chr1:16608532-16608640	16608532	16608640	108
c1riboseqorf33	EMC1-AS1	ENST00000437898	lncRNA-ORF	3	False	+	chr1	1	61	186	chr1:19240260-19240445	chr1:19240259-19240445	19240259	19240445	186
c1riboseqorf34	SLC66A1	ENST00000375153	uORF	2B	False	+	chr1	1	52	159	chr1:19312642-19312800	chr1:19312641-19312800	19312641	19312800	159
c1riboseqorf35	EIF4G3	ENST00000634879	intORF	1B	False	-	chr1	2	31	96	chr1:21002739-21002808+chr1:21050866-21050891	chr1:21002738-21002808;chr1:21050865-21050891	21002738	21050891	48153
c1riboseqorf36	LINC00339	ENST00000404210	lncRNA-ORF	4	False	+	chr1	1	38	117	chr1:22030369-22030485	chr1:22030368-22030485	22030368	22030485	117
